Fecha y Hora;Precipitación (mm)
2026-02-28T00:00;0.0
2026-02-28T01:00;0.0
2026-02-28T02:00;0.0
2026-02-28T03:00;0.0
2026-02-28T04:00;0.0
2026-02-28T05:00;0.0
2026-02-28T06:00;0.0
2026-02-28T07:00;0.0
2026-02-28T08:00;0.0
2026-02-28T09:00;0.0
2026-02-28T10:00;0.0
2026-02-28T11:00;0.0
2026-02-28T12:00;0.0
2026-02-28T13:00;0.0
2026-02-28T14:00;0.0
2026-02-28T15:00;0.0
2026-02-28T16:00;0.0
2026-02-28T17:00;0.0
2026-02-28T18:00;0.0
2026-02-28T19:00;0.0
2026-02-28T20:00;0.0
2026-02-28T21:00;0.0
2026-02-28T22:00;0.0
2026-02-28T23:00;0.0
